lag_days,corr
-30,0.009300924338567402
-29,0.004534273702989559
-28,0.013182858056300586
-27,0.010682633808341295
-26,0.013196889660187883
-25,0.019610946319709437
-24,0.010512230951685863
-23,0.019098393237411086
-22,0.014356081548981948
-21,0.009392784356621421
-20,-0.0018321117012770176
-19,-0.004798677456891762
-18,-0.004443712285457045
-17,-0.0017836199535525938
-16,-0.009277884956046008
-15,-0.015826511938625006
-14,-0.017125177036177684
-13,-0.014465318479730064
-12,-0.01616326247391426
-11,-0.027643342242816345
-10,-0.02044253134023352
-9,-0.032802223653982006
-8,-0.04875827704048305
-7,-0.070355986492422
-6,-0.08288810321609649
-5,-0.09365211278137961
-4,-0.09829306903520299
-3,-0.09551289142287481
-2,-0.0956461242013311
-1,-0.09405195424802988
0,-0.10053696823162546
1,-0.1023536031111943
2,-0.10567870643681669
3,-0.09677813798724086
4,-0.07997437444112318
5,-0.08227849652175814
6,-0.08241359874632258
7,-0.0746434311182087
8,-0.08637396065408598
9,-0.09592103724370937
10,-0.10600889268735308
11,-0.10566947982380538
12,-0.10091299093856793
13,-0.10654063152962064
14,-0.1205232564798997
15,-0.13900416156639608
16,-0.1574557419256167
17,-0.17752851840321007
18,-0.16643547455674174
19,-0.13609570616362118
20,-0.10775669953171285
21,-0.0899343118930652
22,-0.0850295173362117
23,-0.0874626179112328
24,-0.0833528863621023
25,-0.06817599724796418
26,-0.05909153327078751
27,-0.0580212566962994
28,-0.05992788730469057
29,-0.06766926379919881
30,-0.045998442604581614
